Department,Gender,Training_Method,Experience_Years,Salary,Performance_Score,Satisfaction_Score
HR,Male,Online,2,42000,68,6.2
HR,Female,Classroom,4,51000,74,7.1
HR,Male,Online,3,47000,71,6.8
HR,Female,Classroom,6,62000,79,7.6
HR,Male,Online,5,58000,76,7.2
HR,Female,Classroom,8,72000,84,8.1
HR,Male,Online,1,39000,65,5.9
HR,Female,Classroom,7,68000,82,7.9
HR,Male,Online,4,52000,73,6.7
HR,Female,Classroom,10,85000,88,8.5
HR,Male,Online,6,64000,78,7.4
HR,Female,Classroom,3,49000,72,6.9
Finance,Male,Online,2,44000,69,6.3
Finance,Female,Classroom,5,59000,77,7.4
Finance,Male,Online,4,53000,72,6.8
Finance,Female,Classroom,7,71000,83,8.0
Finance,Male,Online,3,48000,70,6.5
Finance,Female,Classroom,9,81000,86,8.3
Finance,Male,Online,6,66000,79,7.5
Finance,Female,Classroom,4,56000,75,7.2
Finance,Male,Online,8,76000,84,7.9
Finance,Female,Classroom,2,45000,68,6.4
Finance,Male,Online,5,61000,76,7.1
Finance,Female,Classroom,6,67000,81,7.8
IT,Male,Online,1,48000,67,6.1
IT,Female,Classroom,3,57000,73,6.9
IT,Male,Online,5,69000,79,7.5
IT,Female,Classroom,7,82000,86,8.2
IT,Male,Online,4,63000,75,7.0
IT,Female,Classroom,9,96000,91,8.8
IT,Male,Online,6,74000,82,7.7
IT,Female,Classroom,2,52000,70,6.6
IT,Male,Online,8,88000,87,8.1
IT,Female,Classroom,5,71000,80,7.6
IT,Male,Online,3,59000,72,6.8
IT,Female,Classroom,6,78000,84,8.0
Sales,Male,Online,2,40000,64,5.8
Sales,Female,Classroom,4,50000,70,6.5
Sales,Male,Online,5,57000,73,6.9
Sales,Female,Classroom,7,66000,80,7.6
Sales,Male,Online,3,46000,68,6.2
Sales,Female,Classroom,9,79000,85,8.1
Sales,Male,Online,6,63000,77,7.2
Sales,Female,Classroom,2,43000,66,6.0
Sales,Male,Online,8,73000,81,7.7
Sales,Female,Classroom,5,58000,75,7.0
Sales,Male,Online,4,52000,71,6.7
Sales,Female,Classroom,6,62000,78,7.4
